record_id,near_duplicate_group_id,direct_perceptual_label_conflict,direct_benchmark_match,minimum_direct_distance
rec_04da73faae205265541b,near_6bef73416f14c89e3255,false,false,0
rec_04e0a6b8543f9dcca704,near_2791da3a50be06fd2718,true,false,0
rec_04e8cbf4a6bed86824ac,near_2791da3a50be06fd2718,true,false,0
rec_04ee5db9f27d8e1c771c,near_d3f15774350e0553c652,false,false,0
rec_04fc6289e39e407f9603,near_c0eddf640ed35acf697d,false,false,0
rec_05122fc6ee588e4c6e27,near_26bf2c9c99c5ebc186ae,false,false,0
rec_051419c4661f0dceecf2,near_7c3443ae780216554f11,false,false,0
rec_052a0c7b1c962d8d8079,near_2791da3a50be06fd2718,true,false,0
rec_052b06c3bf65ce58f7cb,near_2eb4db88b9a011208e0c,false,false,4
rec_05416d5b1f11fae51165,near_2791da3a50be06fd2718,true,false,0
rec_05454d7a8ab957411705,near_b789d8d3662049fc2b17,false,false,3
rec_054c13f2ec0db4ed2ac0,near_5109624955de59a4a76c,false,false,4
rec_0554d9fbe8694ca8a078,near_2791da3a50be06fd2718,true,false,0
rec_05593ede12f672588d2f,near_e0207b867355912334ec,false,false,1
rec_056a23f7c13f6a0edefc,near_2791da3a50be06fd2718,true,false,1
rec_056aa5a58796016ac3ca,near_2791da3a50be06fd2718,true,false,0
rec_057803e1ff2539b536d7,near_2791da3a50be06fd2718,true,false,0
rec_057a3b814c4f696f7810,near_260c68f576cf5d0fb0c5,false,false,1
rec_057b3a5a1cc2c0e10e6b,near_f0ae92fdde7932c721cf,false,false,0
rec_057e78253d7d61994800,near_adaecd312f811efa16a9,false,false,0
rec_05812b6fa45da8b48bc0,near_6d9834b1b7fc5a6e1a72,false,false,0
rec_0582cb7f8bb96a0c425e,near_5467ce3354aa01b364d9,false,false,0
rec_058ab5e49dce9fc63425,near_2791da3a50be06fd2718,true,false,0
rec_058bf76ec50217930fb9,near_2791da3a50be06fd2718,true,false,2
rec_0590fc96c6a0ea2762d8,near_e93b1e6cbce54b022681,false,false,0
rec_0597cf600a8917ed2037,near_c0807e34ed4676c6aa18,false,false,0
rec_059af9d4bf0b61bf84ea,near_d499ce7c4e83a368e310,false,false,0
rec_05a5b963bc7c0fdafabd,near_2791da3a50be06fd2718,true,false,1
rec_05b63f7c2290020eab67,near_0278e50f649a65aa1597,false,false,3
rec_05c2959423bc8812aed6,near_332ce97163dc0fb03703,false,false,4
rec_05c72f775e8205d5c5a9,near_63cc81d2f436ce6b2be8,true,false,0
rec_05cde52907edb1a7b126,near_e25f3e6f0b5286cb23a8,false,false,0
rec_05d5fc07bd307dd53c6a,near_2791da3a50be06fd2718,true,false,0
rec_05db9cc5cdb55a1a61f1,near_2e97cd5c8a3310ae443f,false,false,0
